business_type,item_name,date,price,shelf_life_hours,quantity_available,quantity_sold,customer_demand,waste_quantity,weather_condition,holiday_flag
Cafe,Espresso,2025-06-01,25,0.5,47,46,46,1,Clear,0
Cafe,Cappuccino,2025-06-01,35,0.5,57,51,51,6,Clear,0
Cafe,Latte,2025-06-01,40,0.5,51,51,61,0,Clear,0
Cafe,Croissant,2025-06-01,30,12.0,36,36,37,0,Clear,0
Cafe,Sandwich,2025-06-01,45,8.0,37,37,46,0,Clear,0
Bakery,White Bread,2025-06-01,20,24.0,92,66,66,26,Clear,0
Bakery,Croissants,2025-06-01,30,12.0,65,52,52,13,Clear,0
Bakery,Donuts,2025-06-01,15,12.0,99,91,91,8,Clear,0
Bakery,Cake Slice,2025-06-01,40,48.0,43,34,34,9,Clear,0
Bakery,Cookies,2025-06-01,10,72.0,79,58,58,21,Clear,0
Cafe,Espresso,2025-06-02,25,0.5,53,53,57,0,Clear,0
Cafe,Cappuccino,2025-06-02,35,0.5,68,68,69,0,Clear,0
Cafe,Latte,2025-06-02,40,0.5,66,53,53,13,Clear,0
Cafe,Croissant,2025-06-02,30,12.0,42,36,36,6,Clear,0
Cafe,Sandwich,2025-06-02,45,8.0,44,44,53,0,Clear,0
Bakery,White Bread,2025-06-02,20,24.0,63,56,56,7,Clear,0
Bakery,Croissants,2025-06-02,30,12.0,44,34,34,10,Clear,0
Bakery,Donuts,2025-06-02,15,12.0,72,59,59,13,Clear,0
Bakery,Cake Slice,2025-06-02,40,48.0,27,25,25,2,Clear,0
Bakery,Cookies,2025-06-02,10,72.0,47,47,52,0,Clear,0
Cafe,Espresso,2025-06-03,25,0.5,52,52,52,0,Clear,0
Cafe,Cappuccino,2025-06-03,35,0.5,72,61,61,11,Clear,0
Cafe,Latte,2025-06-03,40,0.5,70,70,70,0,Clear,0
Cafe,Croissant,2025-06-03,30,12.0,44,44,46,0,Clear,0
Cafe,Sandwich,2025-06-03,45,8.0,48,48,53,0,Clear,0
Bakery,White Bread,2025-06-03,20,24.0,53,44,44,9,Clear,0
Bakery,Croissants,2025-06-03,30,12.0,42,37,37,5,Clear,0
Bakery,Donuts,2025-06-03,15,12.0,68,55,55,13,Clear,0
Bakery,Cake Slice,2025-06-03,40,48.0,31,24,24,7,Clear,0
Bakery,Cookies,2025-06-03,10,72.0,50,46,46,4,Clear,0
Cafe,Espresso,2025-06-04,25,0.5,50,50,61,0,Clear,0
Cafe,Cappuccino,2025-06-04,35,0.5,74,62,62,12,Clear,0
Cafe,Latte,2025-06-04,40,0.5,60,60,71,0,Clear,0
Cafe,Croissant,2025-06-04,30,12.0,43,43,44,0,Clear,0
Cafe,Sandwich,2025-06-04,45,8.0,50,39,39,11,Clear,0
Bakery,White Bread,2025-06-04,20,24.0,56,42,42,14,Clear,0
Bakery,Croissants,2025-06-04,30,12.0,49,42,42,7,Clear,0
Bakery,Donuts,2025-06-04,15,12.0,67,50,50,17,Clear,0
Bakery,Cake Slice,2025-06-04,40,48.0,28,23,23,5,Clear,0
Bakery,Cookies,2025-06-04,10,72.0,54,48,48,6,Clear,0
Cafe,Espresso,2025-06-05,25,0.5,50,50,56,0,Clear,0
Cafe,Cappuccino,2025-06-05,35,0.5,74,71,71,3,Clear,0
Cafe,Latte,2025-06-05,40,0.5,68,63,63,5,Clear,0
